sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	Notes	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:107360	Hevea	RO:0002557	hasPathogen	EOL:44667283	Periconia heveae		GEONAMES:3469034	Amazon region of Brazil	-10	-55		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:71097	Spinach	RO:0002557	hasPathogen	EOL:1029451	Albugo occidentalis		GEONAMES:4099753	Arkansas	34.75037	-92.50044		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:108188	Rice	RO:0002557	hasPathogen	EOL:11446730	Rhizoctonia solani		GEONAMES:4099753	Arkansas	34.75037	-92.50044		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:108188	Rice	RO:0002557	hasPathogen	EOL:18152713	Leptosphaeria salvinii		GEONAMES:4099753	Arkansas	34.75037	-92.50044		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:32233	Oak	RO:0002557	hasPathogen	EOL:18307158	Endoconidiophora fagacearum		GEONAMES:4099753	Arkansas	34.75037	-92.50044		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:108188	Rice	RO:0002557	hasPathogen	EOL:18175045	Cercospora oryzae		GEONAMES:4099753	Arkansas	34.75037	-92.50044		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:28998	Redbud	RO:0002557	hasPathogen	EOL:160280	Botryosphaeria ribis		GEONAMES:6252001	Atlantic seaboard from Connecticut to North Carolina	39.76	-98.5		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:596888	Avocado	RO:0002557	hasPathogen	EOL:158807	Phytophthora cactorum		GEONAMES:5332921	California	37.25022	-119.75126		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:596888	Avocado	RO:0002557	hasPathogen	EOL:160280	Botryosphaeria ribis		GEONAMES:5332921	California	37.25022	-119.75126		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:108188	Rice	RO:0002557	hasPathogen	EOL:18152713	Leptosphaeria salvinii		GEONAMES:5332921	California	37.25022	-119.75126		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
EOL:596888	Avocado	RO:0002557	hasPathogen	EOL:189469	Phytophthora cinnamomi		GEONAMES:5332921	California	37.25022	-119.75126		doi:10.5962/bhl.title.85555	Distribution, Symptoms and Control of Some of the More Important Plant Diseases. Beltsville, Md.: Plant Disease Survey, Division of Mycology and Disease Survey, Bureau of Plant Industry, Soils, and Agricultural Engineering, Agricultural Research Administration, United States Department of Agriculture, 1953.
